OBJECTID,TERRIER_NO,WARDS
163097,0025,00FFNP
163098,2882,00FFNP
163099,2882,00FFNP
163100,0565,00FFNP
163101,0565A,00FFNP
163102,8042,00FFNP
163103,2665,00FFNP
163105,0015,00FFNP
163106,0048,00FFNP
163107,0050,00FFNP
163108,0050,00FFNP
163111,0439,00FFNP
163112,0439,00FFNP
163113,3059,00FFNP
163114,0035,00FFNP
163618,9707,00FFNJ
164436,3203,00FFNG
164439,2897,00FFNP
164442,2897,00FFNP
164443,2897,00FFNP
164444,2879,00FFNP
164446,0096,00FFNP
164447,0096,00FFNP
165664,9586,00FFNG
165673,,
165674,,
165675,,
165681,7957,00FFPA
