OBJECTID,SOURCE_ID,SYMBOL,FEATURE_DESC,ANGLE
214853,12001,79,Monument - Small Historic Site,0
214854,22001,65,Seasonal or Summer Dwelling,0
214855,22001,65,Seasonal or Summer Dwelling,0
214856,22001,65,Seasonal or Summer Dwelling,0
214857,22001,65,Seasonal or Summer Dwelling,0
214858,22001,65,Seasonal or Summer Dwelling,0
214859,12001,129,""Highway Bridge, General"",0
214860,12001,60,Dwelling other than Farm,0
214861,12001,58,Farm Unit,0
214862,12001,113,Asterisk,0
214863,12001,59,Vacant Farm Unit,0
214864,12001,7,Small City Center,0
214865,12001,110,Micro-Wave or Radio Tower,0
214866,12001,78,Gravel Pit,0
214867,12001,58,Farm Unit,0
214868,12001,59,Vacant Farm Unit,0
214869,12001,59,Vacant Farm Unit,0
214870,12001,58,Farm Unit,0
214871,12001,78,Gravel Pit,0
214872,12101,58,Farm Unit,0
214873,12101,58,Farm Unit,0
214874,12101,103,Sewage Disposal Plant,91
214875,12101,59,Vacant Farm Unit,0
214876,12101,130,Minor Drainage Structure,0
214877,12101,95,Highway Garage,0
214878,12101,78,Gravel Pit,0
214879,12101,245,Butte,0
214880,12101,245,Butte,0
214881,12101,245,Butte,0
214882,12101,245,Butte,0
214883,12101,245,Butte,0
214884,12101,245,Butte,0
214885,12101,245,Butte,0
214886,12101,245,Butte,0
214887,12101,245,Butte,0
214888,12101,245,Butte,0
214889,12101,245,Butte,0
214890,12101,245,Butte,0
214891,12101,245,Butte,0
214892,12101,245,Butte,0
214893,12101,245,Butte,0
214894,12101,245,Butte,0
214895,12101,245,Butte,0
214896,12101,245,Butte,0
214897,12101,58,Farm Unit,0
214898,12101,129,""Highway Bridge, General"",0
214899,12101,129,""Highway Bridge, General"",0
214900,12101,129,""Highway Bridge, General"",0
214901,12101,130,""Highway Bridge, General"",0
214902,12101,130,Minor Drainage Structure,0
214903,12101,129,""Highway Bridge, General"",0
214904,12101,113,Asterisk,0
214905,12101,245,Butte,0
214906,12101,78,Gravel Pit,0
214907,12101,245,Butte,0
214908,12101,245,Butte,0
214909,12101,45,Groups of Storage Tanks (Gas or Oil),0
214910,12101,245,Butte,0
214911,12101,245,Butte,0
214912,12101,8,Picnic Ground,0
214913,12201,58,Farm Unit,0
214914,12201,59,Vacant Farm Unit,0
214915,12201,58,Farm Unit,0
214916,12201,58,Farm Unit,0
214917,12201,58,Farm Unit,0
214918,12201,59,Vacant Farm Unit,0
214919,12202,58,Vacant Farm Unit,0
214920,12202,58,Vacant Farm Unit,0
214921,12202,58,Farm Unit,0
214922,12202,58,Farm Unit,0
214923,12202,81,Vacant Schoolhouse,0
214924,12202,28,""Cemetery, East & West"",0
214925,12202,58,Farm Unit,0
214926,12202,58,Farm Unit,0
214927,12201,104,""Water Supply Stand Pipe, or Tank"",0
214928,22203,58,Farm Unit,0
214929,12202,59,Vacant Farm Unit,0
214930,12202,58,Farm Unit,0
