Core.DepthRank,CoreName,Depth,Age.Yng,Age,Age.Old,LOI,
2,23A,506,1858.7,1904.62,1986.25,79.03,
2,23A,507,1864.09,1907.93,1998.47,77.96,
2,23A,508,1869.01,1911.23,2007.23,77.92,
2,23A,509,1872.77,1914.53,2015.54,78.21,
2,23A,510,1875.67,1917.94,2022.84,76.06,
2,23A,511,1878.44,1921.45,2028.95,70.55,
2,23A,512,1881.67,1924.94,2035.17,77.55,
2,23A,513,1883.95,1928.33,2039,71,
2,23A,514,1886.93,1931.57,2045.78,66.83,
2,23A,515,1888.76,1934.94,2051.97,83.41,
2,23A,516,1890.51,1938.15,2058.73,84.15,
2,23A,517,1892.53,1941.22,2064.76,83.96,
2,23A,518,1894.68,1944.32,2070.66,77.72,
2,23A,519,1897.37,1947.58,2075.09,66.11,
2,23A,520,1898.71,1950.88,2081.81,86.69,
2,23A,521,1900.09,1954.19,2089.55,85.77,
2,23A,522,1901.41,1957.49,2096.16,85.09,
2,23A,523,1902.86,1960.8,2103.53,75.08,
2,23A,524,1904,1964.1,2110.72,82.85,
2,23A,525,1904.94,1967.41,2117.79,88.35,
2,23A,526,1906.1,1970.71,2124.42,89.24,
2,23A,527,1906.99,1974.01,2132.2,88,
2,23A,528,1908.13,1977.32,2139.02,76.74,
2,23A,529,1909.16,1980.62,2145.21,86.66,
2,23A,530,1909.98,1983.93,2153.1,86.02,
2,23A,531,1911,1987.23,2157.88,89.01,
2,23A,532,1912.45,1990.54,2163.75,89.76,
2,23A,533,1913.76,1993.84,2169.5,89.19,
2,23A,534,1915.15,1997.15,2174.12,80.62,
2,23A,535,1916.67,2000.45,2181.09,78.61,
2,23A,536,1918.16,2003.75,2187.1,84.37,
2,23A,537,1919.47,2007.06,2193.58,91.32,
2,23A,538,1920.88,2010.36,2199.62,91.56,
2,23A,539,1922.39,2013.67,2204.19,89,
2,23A,540,1923.78,2016.97,2211.75,86.16,
