"country","year","value","climate_model","scenario","variable"
"DOM",1966,142.418453236726,"gfdl","historic","precipitation"
"DOM",1967,178.730033301598,"gfdl","historic","precipitation"
"DOM",1968,173.847426574063,"gfdl","historic","precipitation"
"DOM",1969,109.660515084437,"gfdl","historic","precipitation"
"DOM",1970,93.0139100454832,"gfdl","historic","precipitation"
"DZA",1961,"gfdl","historic","precipitation"
"DZA",1962,"gfdl","historic","precipitation"
"DZA",1963,"gfdl","historic","precipitation"
"DZA",1964,"gfdl","historic","precipitation"
"DZA",1965,"gfdl","historic","precipitation"
"DZA",1966,"gfdl","historic","precipitation"
"DZA",1967,"gfdl","historic","precipitation"
"DZA",1968,"gfdl","historic","precipitation"
"DZA",1969,"gfdl","historic","precipitation"
"DZA",1970,"gfdl","historic","precipitation"
"ECU",1961,"gfdl","historic","precipitation"
"ECU",1962,"gfdl","historic","precipitation"
"ECU",1963,"gfdl","historic","precipitation"
"ECU",1964,"gfdl","historic","precipitation"
"ECU",1965,"gfdl","historic","precipitation"
"ECU",1966,"gfdl","historic","precipitation"
"ECU",1967,"gfdl","historic","precipitation"
"ECU",1968,"gfdl","historic","precipitation"
"ECU",1969,"gfdl","historic","precipitation"
"ECU",1970,"gfdl","historic","precipitation"
"EGY",1961,0.187560166226798,"gfdl","historic","precipitation"
"EGY",1962,0.00485360256032816,"gfdl","historic","precipitation"
"EGY",1963,0.129650907683885,"gfdl","historic","precipitation"
"EGY",1964,0.0415799648846677,"gfdl","historic","precipitation"
"EGY",1965,0.632752700070652,"gfdl","historic","precipitation"
"EGY",1966,0.00368857600455093,"gfdl","historic","precipitation"
"EGY",1967,0.0196259589535009,"gfdl","historic","precipitation"
"EGY",1968,0.00651979340753209,"gfdl","historic","precipitation"
"EGY",1969,0.0900035663100622,"gfdl","historic","precipitation"
"EGY",1970,0.266492928997457,"gfdl","historic","precipitation"
"ERI",1961,59.1920066532751,"gfdl","historic","precipitation"
"ERI",1962,68.6307624140622,"gfdl","historic","precipitation"
"ERI",1963,78.4476576828823,"gfdl","historic","precipitation"
"ERI",1964,84.4688333866039,"gfdl","historic","precipitation"
"ERI",1965,112.728004348451,"gfdl","historic","precipitation"
"ERI",1966,68.3539292021552,"gfdl","historic","precipitation"
"ERI",1967,97.5686507076503,"gfdl","historic","precipitation"
"ERI",1968,107.164008954787,"gfdl","historic","precipitation"
"ERI",1969,95.8689296880415,"gfdl","historic","precipitation"
"ERI",1970,78.3352318219239,"gfdl","historic","precipitation"
"ESP",1961,50.6615568488692,"gfdl","historic","precipitation"
"ESP",1962,52.4285486716938,"gfdl","historic","precipitation"
"ESP",1963,32.2635874745384,"gfdl","historic","precipitation"
"ESP",1964,44.3213917584274,"gfdl","historic","precipitation"
"ESP",1965,38.1178553173177,"gfdl","historic","precipitation"
"ESP",1966,43.540050504143,"gfdl","historic","precipitation"
"ESP",1967,31.3053962171632,"gfdl","historic","precipitation"
"ESP",1968,33.9776554885604,"gfdl","historic","precipitation"
"ESP",1969,44.0122421039415,"gfdl","historic","precipitation"
"ESP",1970,49.4354705964039,"gfdl","historic","precipitation"
"ETH",1961,141.272107878265,"gfdl","historic","precipitation"
"ETH",1962,98.1159819697311,"gfdl","historic","precipitation"
"ETH",1963,106.601566160402,"gfdl","historic","precipitation"
"ETH",1964,113.056095497297,"gfdl","historic","precipitation"
"ETH",1965,105.298293995539,"gfdl","historic","precipitation"
"ETH",1966,132.276848580125,"gfdl","historic","precipitation"
"ETH",1967,113.859982749357,"gfdl","historic","precipitation"
"ETH",1968,97.1414792510882,"gfdl","historic","precipitation"
"ETH",1969,144.741219305136,"gfdl","historic","precipitation"
"ETH",1970,113.079640698797,"gfdl","historic","precipitation"
"FRA",1961,69.4275433821523,"gfdl","historic","precipitation"
"FRA",1962,73.2169527427748,"gfdl","historic","precipitation"
"FRA",1963,57.1132209736449,"gfdl","historic","precipitation"
