subj_idx,rt,response,sensoryCondition,session,half,corrChoice,stimCodedCorrChoice,third,stimName,keyHit
1,2.3465,0,2,1,2,2,1,3,T,1
1,0.76458,1,3,1,2,2,1,3,AT,2
1,1.3439,1,2,1,2,1,0,3,T,1
1,1.8073,1,1,1,2,1,0,3,A,1
1,0.95118,1,5,1,2,1,0,3,AT,1
1,1.0619,1,4,1,2,2,1,3,AT,2
1,0.77228,1,4,1,2,1,0,3,AT,1
1,0.69159,1,3,1,2,1,0,3,AT,1
1,0.6712,1,5,1,2,2,1,3,AT,2
1,0.50157,1,5,2,1,1,0,1,AT,1
1,0.63978,1,5,2,1,2,1,1,AT,2
1,0.9136,1,1,2,1,2,1,1,A,2
1,0.55045,1,3,2,1,2,1,1,AT,2
1,0.46258,1,3,2,1,1,0,1,AT,1
1,0.40084,1,4,2,1,1,0,1,AT,1
1,0.51306,1,4,2,1,2,1,1,AT,2
1,0.47932,1,1,2,1,1,0,1,A,1
1,0.4755,1,2,2,1,1,0,1,T,1
1,0.78778,1,2,2,1,2,1,1,T,2
1,0.62301,1,2,2,1,1,0,1,T,1
1,0.57686,1,4,2,1,1,0,1,AT,1
1,1.8589,1,2,2,1,2,1,1,T,2
1,0.54256,1,3,2,1,1,0,1,AT,1
1,0.52867,1,1,2,1,1,0,1,A,1
1,0.51485,1,1,2,1,2,1,1,A,2
1,0.53506,1,4,2,1,2,1,1,AT,2
1,0.74519,1,3,2,1,2,1,1,AT,2
1,0.73665,1,5,2,1,1,0,1,AT,1
1,0.61808,1,5,2,1,2,1,1,AT,2
1,0.61292,1,4,2,1,2,1,1,AT,2
1,0.61681,1,4,2,1,1,0,1,AT,1
1,0.61869,1,2,2,1,2,1,1,T,2
1,0.54448,1,1,2,1,1,0,1,A,1
1,0.69661,1,5,2,1,2,1,1,AT,2
1,0.75421,1,3,2,1,1,0,1,AT,1
1,0.52765,1,1,2,1,2,1,1,A,2
1,0.75583,1,2,2,1,1,0,1,T,1
1,0.56924,1,3,2,1,2,1,1,AT,2
1,0.6773,1,5,2,1,1,0,1,AT,1
1,0.65895,1,4,2,1,1,0,1,AT,1
1,0.54462,1,5,2,1,2,1,1,AT,2
1,0.74476,1,2,2,1,2,1,1,T,2
1,0.64211,1,1,2,1,2,1,1,A,2
1,0.54389,1,4,2,1,2,1,1,AT,2
1,0.47795,1,3,2,1,2,1,1,AT,2
1,0.55819,1,5,2,1,1,0,1,AT,1
1,0.52223,1,3,2,1,1,0,1,AT,1
1,0.47638,1,1,2,1,1,0,1,A,1
1,0.3946,1,2,2,1,1,0,1,T,1
1,0.8259,1,2,2,1,2,1,1,T,2
1,0.50303,1,1,2,1,1,0,1,A,1
1,0.70332,1,3,2,1,1,0,1,AT,1
1,0.61695,1,3,2,1,2,1,1,AT,2
1,0.55274,1,4,2,1,2,1,1,AT,2
1,0.76889,1,2,2,1,1,0,1,T,1
1,0.58622,1,1,2,1,2,1,1,A,2
1,0.51214,1,5,2,1,1,0,1,AT,1
1,0.9884,1,4,2,1,1,0,1,AT,1
1,0.52894,1,5,2,1,2,1,1,AT,2
1,1.1471,1,4,2,1,2,1,1,AT,2
1,0.72117,1,5,2,1,1,0,1,AT,1
1,0.70866,1,2,2,1,2,1,1,T,2
1,0.57817,1,4,2,1,1,0,1,AT,1
1,0.62024,1,3,2,1,2,1,1,AT,2
1,0.51606,1,1,2,1,2,1,1,A,2
1,0.50632,1,1,2,1,1,0,1,A,1
1,0.59248,1,3,2,1,1,0,1,AT,1
1,1.0165,1,5,2,1,2,1,1,AT,2
1,0.64098,1,2,2,1,1,0,1,T,1
1,0.60776,1,3,2,1,2,1,1,AT,2
1,0.68162,1,4,2,1,2,1,1,AT,2
